# SYNTHETIC DATA - NOT A REAL CLIENT. Acme Widgets LLC, tax year 2025, ship-to state sales. Lines starting with # are comments.
transaction_id,date,ship_to_state,amount_usd,channel
TXN-00231,2025-01-27,TX,428.52,wholesale
TXN-00232,2025-01-27,TX,578.87,wholesale
TXN-00233,2025-01-27,TX,685.90,wholesale
TXN-00234,2025-01-27,TX,830.57,wholesale
TXN-00235,2025-01-27,TX,969.78,marketplace
TXN-00236,2025-01-28,CA,623.49,wholesale
TXN-00237,2025-01-28,CA,630.57,website
TXN-00238,2025-01-28,CO,667.55,website
TXN-00239,2025-01-28,CO,733.22,website
TXN-00240,2025-01-28,CO,862.75,website
TXN-00241,2025-01-28,CO,1291.17,website
TXN-00242,2025-01-28,TX,511.67,website
TXN-00243,2025-01-28,TX,603.61,website
TXN-00244,2025-01-28,TX,692.85,marketplace
TXN-00245,2025-01-28,WA,353.67,website
TXN-00246,2025-01-29,CA,1059.11,website
TXN-00247,2025-01-29,CO,790.69,website
TXN-00248,2025-01-29,CO,811.99,wholesale
TXN-00249,2025-01-29,WA,273.21,website
TXN-00250,2025-01-30,CA,857.35,website
TXN-00251,2025-01-30,CO,447.80,wholesale
TXN-00252,2025-01-30,CO,553.47,wholesale
TXN-00253,2025-01-30,CO,612.39,website
TXN-00254,2025-01-30,WA,432.56,wholesale
TXN-00255,2025-01-30,WA,769.00,website
TXN-00256,2025-01-31,CO,692.43,marketplace
TXN-00257,2025-01-31,CO,728.92,website
TXN-00258,2025-01-31,CO,837.83,website
TXN-00259,2025-01-31,CO,839.79,wholesale
TXN-00260,2025-01-31,CO,900.18,website
TXN-00261,2025-01-31,CO,1112.63,website
TXN-00262,2025-01-31,TX,1016.63,website
TXN-00263,2025-02-01,CA,444.66,website
TXN-00264,2025-02-01,CA,527.38,marketplace
TXN-00265,2025-02-01,CO,452.05,marketplace
TXN-00266,2025-02-01,CO,603.79,website
TXN-00267,2025-02-01,CO,702.22,website
TXN-00268,2025-02-01,CO,789.21,wholesale
TXN-00269,2025-02-01,CO,853.15,wholesale
TXN-00270,2025-02-01,CO,985.20,website
TXN-00271,2025-02-01,CO,1216.20,wholesale
TXN-00272,2025-02-01,CO,1294.07,marketplace
TXN-00273,2025-02-01,NY,1930.00,wholesale
TXN-00274,2025-02-01,TX,447.61,wholesale
TXN-00275,2025-02-01,TX,692.07,wholesale
TXN-00276,2025-02-01,TX,876.37,website
TXN-00277,2025-02-01,TX,932.75,website
TXN-00278,2025-02-02,CO,853.21,marketplace
TXN-00279,2025-02-02,CO,1172.63,website
TXN-00280,2025-02-02,CO,1313.27,website
TXN-00281,2025-02-02,NY,1146.05,website
TXN-00282,2025-02-02,NY,1934.74,marketplace
TXN-00283,2025-02-03,CA,732.18,website
TXN-00284,2025-02-03,CO,663.04,website
TXN-00285,2025-02-03,CO,837.00,website
TXN-00286,2025-02-03,CO,1074.94,wholesale
TXN-00287,2025-02-03,CO,1082.17,website
TXN-00288,2025-02-03,CO,1112.35,website
TXN-00289,2025-02-03,TX,362.59,wholesale
TXN-00290,2025-02-03,TX,878.61,wholesale
TXN-00291,2025-02-03,WA,341.58,wholesale
TXN-00292,2025-02-04,CA,720.10,marketplace
TXN-00293,2025-02-04,CO,646.74,website
TXN-00294,2025-02-04,TX,719.35,website
TXN-00295,2025-02-04,TX,750.48,wholesale
TXN-00296,2025-02-04,WA,324.13,website
TXN-00297,2025-02-04,WA,658.15,marketplace
TXN-00298,2025-02-05,CO,521.56,marketplace
TXN-00299,2025-02-05,CO,620.56,website
TXN-00300,2025-02-05,CO,1080.58,website
TXN-00301,2025-02-05,CO,1094.19,website
TXN-00302,2025-02-05,TX,474.30,website
TXN-00303,2025-02-05,TX,726.34,website
TXN-00304,2025-02-05,WA,544.16,wholesale
TXN-00305,2025-02-06,CA,1048.23,marketplace
TXN-00306,2025-02-06,CO,455.52,website
TXN-00307,2025-02-06,CO,928.42,wholesale
TXN-00308,2025-02-06,CO,1247.27,website
TXN-00309,2025-02-06,CO,1279.50,website
TXN-00310,2025-02-06,TX,786.55,website
TXN-00311,2025-02-06,TX,824.88,wholesale
TXN-00312,2025-02-06,WA,601.22,website
TXN-00313,2025-02-06,WA,635.15,website
TXN-00314,2025-02-07,CA,740.78,wholesale
TXN-00315,2025-02-07,CA,798.89,wholesale
TXN-00316,2025-02-07,CO,595.58,website
TXN-00317,2025-02-07,CO,701.49,wholesale
TXN-00318,2025-02-07,FL,627.22,wholesale
TXN-00319,2025-02-07,FL,777.18,wholesale
TXN-00320,2025-02-07,TX,934.79,website
TXN-00321,2025-02-07,TX,1003.73,wholesale
TXN-00322,2025-02-07,TX,1019.54,marketplace
TXN-00323,2025-02-08,CA,507.16,website
TXN-00324,2025-02-08,CA,864.41,website
TXN-00325,2025-02-08,CO,881.29,website
TXN-00326,2025-02-08,CO,984.79,marketplace
TXN-00327,2025-02-08,CO,1023.70,wholesale
TXN-00328,2025-02-09,CA,1020.23,wholesale
TXN-00329,2025-02-09,CA,1040.25,website
TXN-00330,2025-02-09,CO,606.68,marketplace
TXN-00331,2025-02-09,CO,776.73,website
TXN-00332,2025-02-09,CO,895.74,website
TXN-00333,2025-02-09,CO,923.55,website
TXN-00334,2025-02-09,CO,966.69,marketplace
TXN-00335,2025-02-09,CO,1034.73,website
TXN-00336,2025-02-09,CO,1155.04,website
TXN-00337,2025-02-09,FL,513.77,website
TXN-00338,2025-02-09,TX,956.68,website
TXN-00339,2025-02-09,WA,300.43,website
TXN-00340,2025-02-10,CA,465.48,wholesale
TXN-00341,2025-02-10,CA,495.98,website
TXN-00342,2025-02-10,CO,556.16,website
TXN-00343,2025-02-10,CO,1209.32,wholesale
TXN-00344,2025-02-10,CO,1308.23,wholesale
TXN-00345,2025-02-10,TX,454.17,wholesale
TXN-00346,2025-02-10,TX,742.00,website
TXN-00347,2025-02-10,TX,916.78,website
TXN-00348,2025-02-10,WA,575.88,wholesale
TXN-00349,2025-02-11,CO,473.55,website
TXN-00350,2025-02-11,CO,626.21,website
TXN-00351,2025-02-11,CO,659.61,website
TXN-00352,2025-02-11,CO,669.22,website
TXN-00353,2025-02-11,CO,799.18,marketplace
TXN-00354,2025-02-11,CO,1213.44,website
TXN-00355,2025-02-11,NY,1807.81,website
TXN-00356,2025-02-11,TX,418.88,website
TXN-00357,2025-02-11,TX,440.05,wholesale
TXN-00358,2025-02-11,TX,976.09,wholesale
TXN-00359,2025-02-12,CO,861.44,marketplace
TXN-00360,2025-02-12,CO,1004.56,wholesale
TXN-00361,2025-02-12,CO,1156.59,website
TXN-00362,2025-02-12,TX,555.47,wholesale
TXN-00363,2025-02-12,WA,783.16,marketplace
TXN-00364,2025-02-13,CO,996.21,website
TXN-00365,2025-02-13,CO,1102.98,website
TXN-00366,2025-02-13,TX,362.63,website
TXN-00367,2025-02-13,TX,516.67,marketplace
TXN-00368,2025-02-13,TX,894.77,wholesale
TXN-00369,2025-02-14,CA,616.45,website
TXN-00370,2025-02-14,CO,626.31,website
TXN-00371,2025-02-14,CO,636.15,website
TXN-00372,2025-02-14,CO,1051.23,website
TXN-00373,2025-02-14,CO,1277.18,wholesale
TXN-00374,2025-02-14,FL,829.37,website
TXN-00375,2025-02-14,TX,488.40,website
TXN-00376,2025-02-14,TX,800.23,website
TXN-00377,2025-02-14,WA,342.23,wholesale
TXN-00378,2025-02-15,CO,832.74,website
TXN-00379,2025-02-15,CO,872.94,wholesale
TXN-00380,2025-02-16,CA,500.80,website
TXN-00381,2025-02-16,CA,827.40,wholesale
TXN-00382,2025-02-16,CO,855.90,wholesale
TXN-00383,2025-02-16,NY,1445.19,marketplace
TXN-00384,2025-02-16,TX,800.64,website
TXN-00385,2025-02-16,TX,964.46,wholesale
TXN-00386,2025-02-16,TX,971.93,website
TXN-00387,2025-02-16,TX,1007.47,wholesale
TXN-00388,2025-02-16,WA,574.90,website
TXN-00389,2025-02-16,WA,754.82,website
TXN-00390,2025-02-17,CA,950.10,wholesale
TXN-00391,2025-02-17,CA,1062.68,website
TXN-00392,2025-02-17,CO,602.20,website
TXN-00393,2025-02-17,CO,625.34,website
TXN-00394,2025-02-17,TX,731.03,website
TXN-00395,2025-02-17,TX,748.63,wholesale
TXN-00396,2025-02-17,WA,269.34,website
TXN-00397,2025-02-17,WA,522.51,website
TXN-00398,2025-02-17,WA,710.31,website
TXN-00399,2025-02-18,CA,471.50,website
TXN-00400,2025-02-18,CO,789.57,website
TXN-00401,2025-02-18,CO,804.18,wholesale
TXN-00402,2025-02-18,CO,947.54,website
TXN-00403,2025-02-18,CO,1212.45,website
TXN-00404,2025-02-18,TX,444.19,website
TXN-00405,2025-02-18,TX,814.38,website
TXN-00406,2025-02-18,TX,848.32,website
TXN-00407,2025-02-19,CA,418.81,website
TXN-00408,2025-02-19,CA,584.24,wholesale
TXN-00409,2025-02-19,CO,1330.01,website
TXN-00410,2025-02-19,WA,285.62,wholesale
TXN-00411,2025-02-19,WA,389.43,website
TXN-00412,2025-02-20,CA,900.80,wholesale
TXN-00413,2025-02-20,CO,503.16,wholesale
TXN-00414,2025-02-20,CO,962.13,wholesale
TXN-00415,2025-02-20,CO,1000.04,website
TXN-00416,2025-02-20,CO,1058.31,marketplace
TXN-00417,2025-02-20,WA,393.29,website
TXN-00418,2025-02-21,CO,605.47,website
TXN-00419,2025-02-21,CO,613.13,wholesale
TXN-00420,2025-02-21,TX,418.20,website
TXN-00421,2025-02-21,TX,438.27,website
TXN-00422,2025-02-21,TX,1029.70,website
TXN-00423,2025-02-22,CA,991.27,wholesale
TXN-00424,2025-02-22,CO,559.76,website
TXN-00425,2025-02-22,CO,579.87,website
TXN-00426,2025-02-22,CO,586.74,wholesale
TXN-00427,2025-02-22,CO,748.22,wholesale
TXN-00428,2025-02-22,CO,777.78,website
TXN-00429,2025-02-22,CO,1328.19,website
TXN-00430,2025-02-22,TX,393.98,website
TXN-00431,2025-02-22,TX,471.32,website
TXN-00432,2025-02-22,TX,536.97,website
TXN-00433,2025-02-22,WA,377.10,marketplace
TXN-00434,2025-02-23,CA,1043.37,marketplace
TXN-00435,2025-02-23,CO,465.19,website
TXN-00436,2025-02-23,CO,764.66,marketplace
TXN-00437,2025-02-23,CO,1038.67,website
TXN-00438,2025-02-23,CO,1072.10,website
TXN-00439,2025-02-23,CO,1144.94,website
TXN-00440,2025-02-23,TX,602.54,website
TXN-00441,2025-02-23,WA,575.16,website
TXN-00442,2025-02-24,CO,1078.84,website
TXN-00443,2025-02-24,CO,1230.76,wholesale
TXN-00444,2025-02-24,TX,427.29,website
TXN-00445,2025-02-24,TX,446.95,marketplace
TXN-00446,2025-02-24,TX,555.36,marketplace
TXN-00447,2025-02-24,TX,975.61,website
TXN-00448,2025-02-25,CA,807.64,wholesale
TXN-00449,2025-02-25,CO,666.76,website
TXN-00450,2025-02-25,CO,832.91,wholesale
TXN-00451,2025-02-25,CO,844.70,website
TXN-00452,2025-02-25,CO,1122.07,website
TXN-00453,2025-02-25,CO,1154.12,website
TXN-00454,2025-02-25,CO,1214.97,website
TXN-00455,2025-02-25,CO,1262.21,website
TXN-00456,2025-02-25,TX,725.42,website
TXN-00457,2025-02-26,CA,419.81,website
TXN-00458,2025-02-26,CA,614.03,wholesale
TXN-00459,2025-02-26,CA,887.84,website
TXN-00460,2025-02-26,CO,573.13,website
TXN-00461,2025-02-26,CO,593.30,website
TXN-00462,2025-02-26,CO,795.05,website
TXN-00463,2025-02-26,CO,802.79,website
TXN-00464,2025-02-26,CO,976.07,website
TXN-00465,2025-02-26,CO,1128.97,wholesale
TXN-00466,2025-02-26,TX,536.58,website
TXN-00467,2025-02-26,TX,725.47,website
TXN-00468,2025-02-26,TX,736.52,website
TXN-00469,2025-02-26,WA,574.38,website
TXN-00470,2025-02-27,CA,850.73,wholesale
TXN-00471,2025-02-27,CO,502.81,website
TXN-00472,2025-02-27,CO,891.91,wholesale
TXN-00473,2025-02-27,CO,1202.35,website
TXN-00474,2025-02-27,TX,420.27,wholesale
TXN-00475,2025-02-27,TX,717.19,wholesale
TXN-00476,2025-02-28,CA,639.60,wholesale
TXN-00477,2025-02-28,CO,600.87,wholesale
TXN-00478,2025-02-28,CO,1077.64,website
TXN-00479,2025-02-28,CO,1329.28,wholesale
TXN-00480,2025-02-28,TX,391.45,wholesale
TXN-00481,2025-02-28,TX,720.75,website
TXN-00482,2025-02-28,TX,767.49,wholesale
TXN-00483,2025-02-28,TX,896.51,website
TXN-00484,2025-03-01,CA,509.79,website
TXN-00485,2025-03-01,CO,663.21,wholesale
TXN-00486,2025-03-01,CO,666.01,website
TXN-00487,2025-03-01,CO,781.43,website
TXN-00488,2025-03-01,CO,1160.79,website
TXN-00489,2025-03-01,TX,398.46,website
TXN-00490,2025-03-01,TX,647.32,wholesale
TXN-00491,2025-03-01,TX,736.17,website
TXN-00492,2025-03-02,CO,584.26,wholesale
TXN-00493,2025-03-02,CO,592.45,wholesale
TXN-00494,2025-03-02,CO,1018.82,wholesale
TXN-00495,2025-03-02,CO,1079.85,wholesale
TXN-00496,2025-03-02,TX,923.47,website
TXN-00497,2025-03-03,CO,918.82,website
TXN-00498,2025-03-03,CO,1222.74,website
TXN-00499,2025-03-03,CO,1281.45,marketplace
TXN-00500,2025-03-03,CO,1288.41,website
TXN-00501,2025-03-03,TX,373.72,website
TXN-00502,2025-03-03,TX,929.01,marketplace
TXN-00503,2025-03-03,TX,983.53,marketplace
TXN-00504,2025-03-03,WA,400.14,website
TXN-00505,2025-03-04,CA,725.99,website
TXN-00506,2025-03-04,CO,551.79,marketplace
TXN-00507,2025-03-04,CO,867.58,wholesale
TXN-00508,2025-03-04,CO,904.91,website
TXN-00509,2025-03-04,CO,965.79,wholesale
TXN-00510,2025-03-04,CO,1002.24,website
TXN-00511,2025-03-04,NY,1544.46,wholesale
TXN-00512,2025-03-04,TX,377.37,website
TXN-00513,2025-03-04,TX,924.32,website
TXN-00514,2025-03-04,TX,929.40,wholesale
TXN-00515,2025-03-04,WA,623.01,wholesale
TXN-00516,2025-03-05,CA,848.51,wholesale
TXN-00517,2025-03-05,CA,869.15,website
TXN-00518,2025-03-05,CO,605.93,wholesale
TXN-00519,2025-03-05,CO,697.29,wholesale
TXN-00520,2025-03-05,CO,717.28,marketplace
TXN-00521,2025-03-05,CO,900.31,marketplace
TXN-00522,2025-03-05,CO,1045.64,website
TXN-00523,2025-03-05,TX,713.34,website
TXN-00524,2025-03-05,TX,730.26,website
TXN-00525,2025-03-05,TX,930.08,website
TXN-00526,2025-03-05,WA,307.87,wholesale
TXN-00527,2025-03-06,CA,870.27,website
TXN-00528,2025-03-06,CA,886.40,website
TXN-00529,2025-03-06,CA,1095.60,website
TXN-00530,2025-03-06,CO,533.95,website
TXN-00531,2025-03-06,CO,581.31,wholesale
TXN-00532,2025-03-06,CO,1051.39,website
TXN-00533,2025-03-06,CO,1262.51,website
TXN-00534,2025-03-06,TX,572.09,wholesale
TXN-00535,2025-03-06,TX,906.92,website
TXN-00536,2025-03-07,CO,759.16,website
TXN-00537,2025-03-07,CO,770.47,wholesale
TXN-00538,2025-03-07,CO,1062.37,website
TXN-00539,2025-03-07,TX,494.72,marketplace
TXN-00540,2025-03-07,TX,505.09,wholesale
TXN-00541,2025-03-07,TX,669.31,website
TXN-00542,2025-03-07,TX,739.20,wholesale
TXN-00543,2025-03-07,TX,846.77,website
TXN-00544,2025-03-07,TX,848.28,website
TXN-00545,2025-03-07,TX,946.53,website
TXN-00546,2025-03-07,WA,524.95,website
TXN-00547,2025-03-07,WA,545.35,wholesale
TXN-00548,2025-03-07,WA,553.40,wholesale
TXN-00549,2025-03-08,CO,485.11,website
TXN-00550,2025-03-08,CO,499.71,marketplace
TXN-00551,2025-03-08,CO,564.12,website
TXN-00552,2025-03-08,CO,564.51,website
TXN-00553,2025-03-08,CO,613.34,website
TXN-00554,2025-03-08,CO,952.72,website
TXN-00555,2025-03-08,CO,980.88,website
TXN-00556,2025-03-08,CO,1144.99,website
TXN-00557,2025-03-08,CO,1216.65,website
TXN-00558,2025-03-08,CO,1231.13,website
TXN-00559,2025-03-08,TX,414.26,website
TXN-00560,2025-03-09,CO,465.90,wholesale
TXN-00561,2025-03-09,CO,846.47,website
TXN-00562,2025-03-09,CO,926.25,marketplace
TXN-00563,2025-03-09,CO,1011.78,website
TXN-00564,2025-03-09,CO,1027.73,website
TXN-00565,2025-03-09,CO,1075.53,wholesale
